Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH,SFI,Recommendation,Type
17.49080237694725,47.92646856078981,17.405317153544786,22.78622677704327,47.851170512077175,7.155037844212606,Low,Leguminous,Soybeans
29.01428612819832,41.44385465376482,31.676037895134325,22.187728164445964,47.40936397216,7.029055589309436,Low,Leguminous,Soybeans
24.6398788362281,32.381104651453114,44.91783343505633,15.384630987096536,67.1876374156311,6.647057902911147,Low,Leguminous,Soybeans
21.97316968394073,52.55180078827794,39.28899545638245,20.118717414392343,47.48638599548518,7.412094287223866,Low,Leguminous,Soybeans
13.12037280884873,47.38924690215517,42.26244591445799,20.70293428178785,48.15849178385893,5.900949031056806,Low,Leguminous,Cowpeas
13.119890406724052,26.504677573795654,36.35133466842869,20.982341713453508,62.78194787253891,5.718528420619243,Low,Leguminous,Cowpeas
11.16167224336399,56.4370873797537,37.6910625807141,23.702585538409984,53.4921952735162,7.207923933910845,Low,Leguminous,Soybeans
27.323522915498703,52.90148971692676,43.96782606261277,23.00403820090317,63.30131670865544,6.378299633267496,Low,Leguminous,Soybeans
22.022300234864176,57.99199653167696,19.98672035436744,24.11857639190167,41.96098472693156,7.193937708414121,Low,Leguminous,Soybeans
24.16145155592091,49.0287803355344,29.57699854572562,26.473248923131926,54.62713581020153,7.28618041039083,Low,Leguminous,Soybeans
10.411689885916047,44.5366078374316,18.84837767278409,27.1947860807414,41.00840800549848,5.624915187238143,Low,Leguminous,Cowpeas
29.39819704323989,36.72972145162476,49.50672031986588,25.77184614339742,41.87959610366064,7.266929525972121,Low,Leguminous,Soybeans
26.64885281600844,57.30913933416053,47.76237358746453,29.33285543932402,67.19312360033233,6.396638110738844,Low,Leguminous,Soybeans
14.246782213565524,54.642555580016335,11.577072454740236,15.273488740145424,44.17736113352785,6.520864978008465,Low,Leguminous,Soybeans
13.636499344142011,21.808746804247576,38.22300690062754,17.93666978525319,55.97262046825652,6.75318502218642,Low,Leguminous,Soybeans
13.668090197068675,21.05467897989008,47.00993269662664,15.113443124672132,52.33286807802119,7.352765213460174,Low,Leguminous,Soybeans
16.084844859190753,35.05853467512198,17.22301380509334,24.712120712319045,50.42029978776528,5.538232188859528,Low,Leguminous,Cowpeas
20.49512863264476,52.422133231273314,32.717809222105174,28.470458234249804,66.99500037061817,6.453686936635634,Low,Leguminous,Soybeans
18.638900372842315,59.49104517259778,46.61953190352168,18.65223444864449,40.65470190326469,6.875444084861122,Low,Leguminous,Soybeans
15.82458280396084,26.016675644141127,11.357839143431953,28.9055181719446,59.91369058526767,6.945413915396457,Low,Leguminous,Soybeans
22.237057894447588,43.7652286140854,37.8968106898736,15.904010854343412,68.9018330264065,6.885064863074216,Low,Leguminous,Soybeans
12.789877213040835,35.23563426524086,21.89396029490203,29.016540402082715,56.80504550385525,5.768870258816244,Low,Leguminous,Cowpeas
15.842892970704362,58.79657591258413,46.975847815061215,20.27434030859452,68.10467386099276,6.0987911767433625,Low,Leguminous,Soybeans
17.327236865873836,53.684756925428346,48.84232980661472,16.52131242673825,41.56773637858071,6.217431050834027,Low,Leguminous,Soybeans
19.12139968434072,53.53314818844552,47.77065956453736,22.288076387794884,52.56379957222484,7.1088744153590095,Low,Leguminous,Soybeans
25.703519227860276,38.74772639179881,28.96856866629855,18.851648515807614,47.804733728861535,6.057519744829106,Low,Leguminous,Soybeans
13.993475643167194,36.592780093506605,44.481706039572536,19.27309352942884,61.92462894942189,5.921409927734406,Low,Leguminous,Cowpeas
20.284688768272236,30.93628287722825,43.78197594140281,19.609349473894294,69.4389127149174,7.414896038076193,Low,Leguminous,Soybeans
21.848291377240848,22.255019866037085,22.764018929730227,27.04538846748995,47.69590187332744,5.517726570226937,Low,Leguminous,Cowpeas
10.929008254399957,54.588895050202126,43.1566189660271,23.087419150128817,59.62523804422223,7.495641711363956,Low,Leguminous,Soybeans
22.150897038028766,52.516040365203104,11.480305388619705,19.669615487340053,45.9429289827922,6.853642597714791,Low,Leguminous,Soybeans
13.41048247374583,59.98870693144522,33.85079513928212,24.155006749663777,56.9599076371483,7.156938598898234,Low,Leguminous,Soybeans
11.30103185970559,59.86547348295622,19.20035349150812,25.742260113347903,53.91797460065008,6.089238792692386,Low,Leguminous,Soybeans
28.977710745066663,42.2172682241051,14.822675431091152,19.08936001100301,69.16015988894611,5.52863055533412,Low,Leguminous,Cowpeas
29.312640661491187,50.75949660722042,13.078128065168366,21.203236522880275,58.255818180894,6.97573903712306,Low,Leguminous,Soybeans
26.16794696232922,57.79062919529712,37.85155103512559,16.828291400054212,50.485191162604565,7.168289194001352,Low,Leguminous,Soybeans
16.092275383467413,53.98589562709646,23.594998550722647,17.717240243020203,43.422873546638,6.980952263907039,Low,Leguminous,Soybeans
11.953442280127678,29.893924069727905,38.99067086115046,25.216767809474742,44.53740486204804,5.785700574601677,Low,Leguminous,Cowpeas
23.684660530243136,38.02176541240374,12.614253631957697,17.721575215434406,46.75950789853705,7.006855844513938,Low,Leguminous,Soybeans
